"eV";"Element";"Line";"Rel_intensity";"Name"
8 102,00;"65 Tb";"Lγ1";11;"LG1"
8 146,10;"73 Ta";"Lα1";100;"LA1"
8 189,00;"68 Er";"Lβ2,15";20;"LB2,15"
8 264,70;"28 Ni";"Kβ1,3";17;"KB1,3"
8 268,00;"78 Pt";"Ll";5;"Ll"
8 335,20;"74 W";"Lα2";11;"LA2"
8 397,60;"74 W";"Lα1";100;"LA1"
8 401,80;"70 Yb";"Lβ1";65;"LB1"
8 418,80;"66 Dy";"Lγ1";11;"LG1"
8 468,00;"69 Tm";"Lβ2,15";20;"LB2,15"
8 493,90;"79 Au";"Ll";5;"Ll"
8 586,20;"75 Re";"Lα2";11;"LA2"
8 615,80;"30 Zn";"Kα2";51;"KA2"
8 638,90;"30 Zn";"Kα1";100;"KA1"
8 652,50;"75 Re";"Lα1";100;"LA1"
8 709,00;"71 Lu";"Lβ1";66;"LB1"
8 721,00;"80 Hg";"Ll";5;"Ll"
8 747,00;"67 Ho";"Lγ1";11;"LG1"
8 758,80;"70 Yb";"Lβ2,15";20;"LB2,15"
8 841,00;"76 Os";"Lα2";11;"LA2"
8 905,30;"29 Cu";"Kβ1,3";17;"KB1,3"
8 911,70;"76 Os";"Lα1";100;"LA1"
8 953,20;"81 Tl";"Ll";6;"Ll"
9 022,70;"72 Hf";"Lβ1";67;"LB1"
9 048,90;"71 Lu";"Lβ2";19;"LB2"
9 089,00;"68 Er";"Lγ1";11;"LG1"
9 099,50;"77 Ir";"Lα2";11;"LA2"
9 175,10;"77 Ir";"Lα1";100;"LA1"
9 184,50;"82 Pb";"Ll";6;"Ll"
9 224,80;"31 Ga";"Kα2";51;"KA2"
9 251,70;"31 Ga";"Kα1";100;"KA1"
9 343,10;"73 Ta";"Lβ1";67;"LB1"
9 347,30;"72 Hf";"Lβ2";20;"LB2"
9 361,80;"78 Pt";"Lα2";11;"LA2"
9 420,40;"83 Bi";"Ll";6;"Ll"
9 426,00;"69 Tm";"Lγ1";12;"LG1"
9 442,30;"78 Pt";"Lα1";100;"LA1"
9 572,00;"30 Zn";"Kβ1,3";17;"KB1,3"
9 628,00;"79 Au";"Lα2";11;"LA2"
9 651,80;"73 Ta";"Lβ2";20;"LB2"
9 672,40;"74 W";"Lβ1";67;"LB1"
9 713,30;"79 Au";"Lα1";100;"LA1"
9 780,10;"70 Yb";"Lγ1";12;"LG1"
9 855,30;"32 Ge";"Kα2";51;"KA2"
9 886,40;"32 Ge";"Kα1";100;"KA1"
9 897,60;"80 Hg";"Lα2";11;"LA2"
9 961,50;"74 W";"Lβ2";21;"LB2"
9 988,80;"80 Hg";"Lα1";100;"LA1"
10 010,00;"75 Re";"Lβ1";66;"LB1"
10 143,40;"71 Lu";"Lγ1";12;"LG1"
10 172,80;"81 Tl";"Lα2";11;"LA2"
10 260,30;"31 Ga";"Kβ3";5;"KB3"
10 264,20;"31 Ga";"Kβ1";66;"KB1"
10 268,50;"81 Tl";"Lα1";100;"LA1"
10 275,20;"75 Re";"Lβ2";22;"LB2"
10 355,30;"76 Os";"Lβ1";67;"LB1"
10 449,50;"82 Pb";"Lα2";11;"LA2"
10 508,00;"33 As";"Kα2";51;"KA2"
10 515,80;"72 Hf";"Lγ1";12;"LG1"
10 543,70;"33 As";"Kα1";100;"KA1"
10 551,50;"82 Pb";"Lα1";100;"LA1"
10 598,50;"76 Os";"Lβ2";22;"LB2"
10 708,30;"77 Ir";"Lβ1";66;"LB1"
10 730,90;"83 Bi";"Lα2";11;"LA2"
10 838,80;"83 Bi";"Lα1";100;"LA1"
10 895,20;"73 Ta";"Lγ1";12;"LG1"
10 920,30;"77 Ir";"Lβ2";22;"LB2"
10 978,00;"32 Ge";"Kβ3";6;"KB3"
10 982,10;"32 Ge";"Kβ1";60;"KB1"
11 070,70;"78 Pt";"Lβ1";67;"LB1"
11 118,60;"90 Th";"Ll";6;"Ll"
11 181,40;"34 Se";"Kα2";52;"KA2"
11 222,40;"34 Se";"Kα1";100;"KA1"
11 250,50;"78 Pt";"Lβ2";23;"LB2"
11 285,90;"74 W";"Lγ1";13;"LG1"
11 442,30;"79 Au";"Lβ1";67;"LB1"
11 584,70;"79 Au";"Lβ2";23;"LB2"
11 618,30;"92 U";"Ll";7;"Ll"
11 685,40;"75 Re";"Lγ1";13;"LG1"
11 720,30;"33 As";"Kβ3";6;"KB3"
11 726,20;"33 As";"Kβ1";13;"KB1"
11 822,60;"80 Hg";"Lβ1";67;"LB1"
11 864,00;"33 As";"Kβ2";1;"KB2"
11 877,60;"35 Br";"Kα2";52;"KA2"
11 924,10;"80 Hg";"Lβ2";24;"LB2"
11 924,20;"35 Br";"Kα1";100;"KA1"
12 095,30;"76 Os";"Lγ1";13;"LG1"
12 213,30;"81 Tl";"Lβ1";67;"LB1"
12 271,50;"81 Tl";"Lβ2";25;"LB2"
12 489,60;"34 Se";"Kβ3";6;"KB3"
12 495,90;"34 Se";"Kβ1";13;"KB1"
12 512,60;"77 Ir";"Lγ1";13;"LG1"
12 598,00;"36 Kr";"Kα2";52;"KA2"
12 613,70;"82 Pb";"Lβ1";66;"LB1"
12 622,60;"82 Pb";"Lβ2";25;"LB2"
12 649,00;"36 Kr";"Kα1";100;"KA1"
12 652,00;"34 Se";"Kβ2";1;"KB2"
12 809,60;"90 Th";"Lα2";11;"LA2"
12 942,00;"78 Pt";"Lγ1";13;"LG1"
12 968,70;"90 Th";"Lα1";100;"LA1"
12 979,90;"83 Bi";"Lβ2";25;"LB2"
13 023,50;"83 Bi";"Lβ1";67;"LB1"
13 284,50;"35 Br";"Kβ3";7;"KB3"
13 291,40;"35 Br";"Kβ1";14;"KB1"
13 335,80;"37 Rb";"Kα2";52;"KA2"
13 381,70;"79 Au";"Lγ1";13;"LG1"
13 395,30;"37 Rb";"Kα1";100;"KA1"
13 438,80;"92 U";"Lα2";11;"LA2"
13 469,50;"35 Br";"Kβ2";1;"KB2"
13 614,70;"92 U";"Lα1";100;"LA1"
13 830,10;"80 Hg";"Lγ1";14;"LG1"
14 097,90;"38 Sr";"Kα2";52;"KA2"
14 104,00;"36 Kr";"Kβ3";7;"KB3"
14 112,00;"36 Kr";"Kβ1";14;"KB1"
14 165,00;"38 Sr";"Kα1";100;"KA1"
14 291,50;"81 Tl";"Lγ1";14;"LG1"
14 315,00;"36 Kr";"Kβ2";2;"KB2"
14 764,40;"82 Pb";"Lγ1";14;"LG1"
