:party SRS
      БК
    29280  1634010    24060    17160   289650   422310     2670   420780
      3м
     3690    21390   450810  2733600    26070  1059780   740160   153720
    35220  2288490    26670    19470   300420   389820     2340   542010
      4м
     4470    21000   418110  2843460    25680   975840   779280   156780
    25740  1646130    34710    17790   309090   435480     2640   440880
      5м
     2880    30750   426450  2496990    32760  1003620  1342500   154800
    33720  2355090    34020    19440   313560   343560     2730   499530
      6м
     2460    22770   438270  2454540    53550  1077990  1174470   140580
    37020  2479590    80730    20580   351390   444450     3000   695850
      7м
     3450    27810   462480  2711790    24090  1087080   623760   161250
    41910  2423790    59700    19020   313140   417600     2310   633900
       8м
     2790    20880   452940  2638860    34770  1029930   523350   183030
    36420  2469240    55620    20490   323070   404880     2370   572010
       9м
     4290    16230   424830  2900190    36420  1091700   422760   110010
    25740  1583700    34650    18720   285750   330750     2400   494070
       10м
     3180    22710   478590  2745390    28290  1121880   494400   152130
    28890  2353950    41040    20580   331500   427020     2490   648690
       11м
     3660    15000   395730  2788320    28380  1075590   369420   114720
    38640  1578450    46470    18180   332580   424920     2670   666660
       12м
     4470    18060   440580  2980470    15750  1063620   425700   127590
    26340  1485240    20400    17820   329160   442800     2370   639420
        13м
     3690    24840   446130  2638260    30120  1007040   916860   166740
    28590  2239170   147990    19200   337200   427770     2490   538320
