"Z";"Line Name";"Comment";"line keV";"tube KV";"Filter";"Ref Sample";"Ref Line";"Calib.";"Collimator";"Crystal";"Detector";"2Th-Peak";"2Th-Bkg";"LLD";"ULD"
83;"Bi MB1-HS-Tr";;2,526;30;;"QuantExpress-SQ2";"P  KA1-HS-Tr";"C,D,*";0,46;"PET";"Gas";68,261;;60;140
35;"Br KA1-ALT-Min";;11,92;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";42,825;;50;150
35;"Br KA1-ALT-Min";"QE";11,92;60;;;;;0,23;"LiF220";"Sci.";42,825;"9,999; 109,999";50;150
35;"Br KA1-ALT-Tr";;11,92;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";42,825;;60;140
35;"Br KA1-ALT-Tr";"QE";11,92;60;;;;;0,23;"LiF220";"Sci.";42,825;"9,999; 109,999";60;140
35;"Br KA1-HR-Min";;11,92;60;;"QuantExpress-SQ2";"Pb LA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";29,939;;50;150
35;"Br KA1-HR-Min";"QE";11,92;60;;;;;0,23;"LiF200";"Sci.";29,939;"10,199; 71,399";50;150
35;"Br KA1-HR-Tr";;11,92;60;;"QuantExpress-SQ2";"Pb LA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";29,939;;60;140
35;"Br KA1-HR-Tr";"QE";11,92;60;;;;;0,23;"LiF200";"Sci.";29,939;"10,199; 71,399";60;140
35;"Br KA1-HS-Min";;11,92;60;;"QuantExpress-SQ2";"Pb LA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";29,939;;50;150
35;"Br KA1-HS-Min";"QE";11,92;60;;;;;0,46;"LiF200";"Sci.";29,939;"10,199; 71,399";50;150
35;"Br KA1-HS-Tr";;11,92;60;;"QuantExpress-SQ2";"Pb LA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";29,939;;60;140
35;"Br KA1-HS-Tr";"BF";11,92;40;"Al 800um";"QuantExpress-SQ2";"Br KA1-HS-Tr/BF";"*";0,17;"LiF220";"Sci.";"42,880*";;64,17;130,8
35;"Br KA1-HS-Tr";"QE";11,92;60;;;;;0,46;"LiF200";"Sci.";29,939;"10,199; 71,399";60;140
35;"Br KB1-HR-Min";;13,29;60;;"QuantExpress-SQ2";"Pb LA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";26,8;;50;150
35;"Br KB1-HR-Tr";;13,29;60;;"QuantExpress-SQ2";"Pb LA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";26,8;;60;140
35;"Br LA1-HR";;1,48;30;;"QuantExpress-SQ1";"Al KA1-HR-Tr";"C,D,*";0,23;"PET";"Gas";146,286;;60;140
35;"Br LA1-HS";;1,48;30;;"QuantExpress-SQ1";"Al KA1-HS-Tr";"C,D,*";0,46;"PET";"Gas";146,286;;60;140
35;"Br LB1-HR";;1,526;30;;"QuantExpress-SQ1";"Al KA1-HR-Tr";"C,D,*";0,23;"PET";"Gas";136,331;;60;140
35;"Br LB1-HS";;1,526;30;;"QuantExpress-SQ1";"Al KA1-HS-Tr";"C,D,*";0,46;"PET";"Gas";136,331;;60;140
6;"C  KA1";;0,277;30;;"QuantExpress-GRA";"C  KA1";"C,D";0,46;"XS-55";"Gas";"104,817*";;40;160
6;"C  KA1-ALT";;0,277;30;;"QuantExpress-GRA";"C  KA1-ALT";"C,D,*";1;"XS-C";"Gas";"43,796*";;40;160
6;"C  KA1";"L";0,277;30;;"QuantExpress-GRA";"C  KA1/L";;0,46;"XS-C";"Gas";"43,816*";39,497;30,83;182,9
20;"Ca KA1-ALT-Min";;3,692;30;;;;;0,46;"PET";"Gas";45,159;;50;150
20;"Ca KA1-ALT-Tr";;3,692;30;;;;;0,46;"PET";"Gas";45,159;;60;140
20;"Ca KA1-HR-Min";;3,692;50;;"QuantExpress-SQ2";"Ca KA1-HR-Min";"C,D,*";0,23;"LiF200";"Gas";"113,070*";;50;150
20;"Ca KA1-HR-Min";"BF";3,692;40;;"QuantExpress-SQ2";"Ca KA1-HR-Min/L";"*";0,23;"LiF200";"Gas";"113,092*";;64,17;130,8
20;"Ca KA1-HR-Min";"L";3,692;40;;"QuantExpress-SQ2";"Ca KA1-HR-Min/L";"*";0,23;"LiF200";"Gas";"113,092*";114,21;64,17;130,8
20;"Ca KA1-HR-Tr";;3,692;50;;"QuantExpress-SQ2";"Ca KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Gas";113,017;;60;140
20;"Ca KA1-HR-Tr";"Ca_Nd_karb";3,692;50;;"QuantExpress-SQ2";"Ca KA1-HR-Tr";"C,D";0,23;"LiF200";"Gas";113,017;;60;140
20;"Ca KA1-HR-Tr";"Sn_IZK";3,692;50;;"QuantExpress-SQ2";"Ca KA1-HR-Tr";"C,D";0,23;"LiF200";"Gas";113,017;;60;140
20;"Ca KA1-HS-Min";;3,692;50;;"QuantExpress-SQ2";"Ca KA1-HS-Min";"C,D,*";0,46;"LiF200";"Gas";113,017;;50;150
20;"Ca KA1-HS-Min";"Ca_Nd_karb";3,692;50;;"Rekal-MSAN-1";"Ca KA1-HS-Min/Ca_Nd_karb";"C,D";0,46;"LiF200";"Gas";"113,134*";;50;150
20;"Ca KA1-HS-Min";"granit";3,692;40;;;;;0,23;"LiF200";"Gas";"113,128*";114,08;67,92;129,2
20;"Ca KA1-HS-Min";"granit new";3,692;50;;"QuantExpress-SQ2";"Ca KA1-HS-Min";"C,D";0,46;"LiF200";"Gas";113,017;;50;150
20;"Ca KA1-HS-Tr";;3,692;50;;"QuantExpress-SQ2";"Ca KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Gas";113,017;;60;140
20;"Ca KA1-Maj";;3,692;50;;"QuantExpress-SQ2";"Ca KA1-Maj";"C,D,*";0,23;"LiF200";"Gas";113,017;;35;300
20;"Ca KA1-Maj";"Ca_Nd_karb";3,692;50;;"Rekal-CDO-3";"Ca KA1-Maj/Ca_Nd_karb";"C,D";0,23;"LiF200";"Gas";"113,100*";;35;300
20;"Ca KA1-Maj";"Oxid_IZK";3,692;40;;;;;0,23;"LiF200";"Gas";"113,019*";114;67,08;127,1
20;"Ca KA1";"S8-Check";3,692;40;"Al 12um";"DC_S8-Check-STG";"Ca KA1/S8-Check";"D-";0,46;"LiF200";"Gas";"113,126*";;40;250
20;"Ca KB1-HR-Min";;4,013;50;;"QuantExpress-SQ2";"Ca KA1-HR-Min";"C,D,*";0,23;"LiF200";"Gas";100,223;;50;150
20;"Ca KB1-HR-Tr";;4,013;50;;"QuantExpress-SQ2";"Ca KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Gas";100,223;;60;140
