"Z";"Line Name";"Comment";"line keV";"tube KV";"Filter";"Ref Sample";"Ref Line";"Calib.";"Collimator";"Crystal";"Detector";"2Th-Peak";"2Th-Bkg";"LLD";"ULD"
55;"Cs KA1-ALT-Min";;30,97;60;;"QuantExpress-SQ1";"Ba KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";16,162;;50;150
55;"Cs KA1-ALT-Tr";;30,97;60;;"QuantExpress-SQ1";"Ba KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";16,162;;60;140
55;"Cs KA1-HR-Min";;30,97;60;;"QuantExpress-SQ1";"Ba KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";11,42;;50;150
55;"Cs KA1-HR-Tr";;30,97;60;;"QuantExpress-SQ1";"Ba KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";11,42;;60;140
55;"Cs KB1-ALT-Min";;34,96;60;;"QuantExpress-SQ1";"Ba KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";14,309;;50;150
55;"Cs KB1-ALT-Tr";;34,96;60;;"QuantExpress-SQ1";"Ba KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";14,309;;60;140
55;"Cs KB1-HR-Min";;34,96;60;;"QuantExpress-SQ1";"Ba KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";10,116;;50;150
55;"Cs KB1-HR-Tr";;34,96;60;;"QuantExpress-SQ1";"Ba KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";10,116;;60;140
55;"Cs LA1-HR-Min";;4,287;50;;"QuantExpress-SQ1";"Ti KA1-HR-Min";"C,D,*";0,23;"LiF200";"Gas";91,825;;50;150
55;"Cs LA1-HR-Tr";;4,287;50;;"QuantExpress-SQ1";"Ti KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Gas";91,825;;60;140
55;"Cs LA1-HS-Min";;4,287;50;;"QuantExpress-SQ1";"Ti KA1-HS-Min";"C,D,*";0,46;"LiF200";"Gas";91,825;;50;150
55;"Cs LA1-HS-Tr";;4,287;50;;"QuantExpress-SQ1";"Ti KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Gas";91,825;;60;140
55;"Cs LA1";"GEO-QUANT";4,287;50;;"DC_AusMon, DC_Herasil";"Cs LA1/GEO-QUANT";"D-";0,23;"LiF200";"Gas";"91,821*";"89,088; 94,838";50,42;150
55;"Cs LB1-HR-Min";;4,619;50;;"QuantExpress-SQ1";"Ti KA1-HR-Min";"C,D,*";0,23;"LiF200";"Gas";83,617;;50;150
55;"Cs LB1-HR-Tr";;4,619;50;;"QuantExpress-SQ1";"Ti KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Gas";83,617;;60;140
55;"Cs LB1-HS-Min";;4,619;50;;"QuantExpress-SQ1";"Ti KA1-HS-Min";"C,D,*";0,46;"LiF200";"Gas";83,617;;50;150
55;"Cs LB1-HS-Tr";;4,619;50;;"QuantExpress-SQ1";"Ti KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Gas";83,617;;60;140
29;"Cu KA1-ALT-Min";;8,048;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";65,49;;50;150
29;"Cu KA1-ALT-Tr";;8,048;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";65,49;;60;140
29;"Cu KA1-ALT-Tr";"Ca_Nd_karb";8,048;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D";0,23;"LiF220";"Sci.";65,49;;60;140
29;"Cu KA1-HR-Min";;8,048;60;;"QuantExpress-SQ1";"Zn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";44,999;;50;150
29;"Cu KA1-HR-Min";"T";8,048;50;"Al 500um";;;"*";0,23;"LiF200";"Sci.";"45,039*";45,708;50;150
29;"Cu KA1-HR-Tr";;8,048;60;;"QuantExpress-SQ1";"Zn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";44,999;;60;140
29;"Cu KA1-HS-Min";;8,048;60;;"QuantExpress-SQ1";"Zn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";44,999;;50;150
29;"Cu KA1-HS-Min";"L";8,048;50;"Al 200um";;;"*";0,17;"LiF200";"Sci.";"45,037*";45,539;55,83;150
29;"Cu KA1-HS-Tr";;8,048;60;;"QuantExpress-SQ1";"Zn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";44,999;;60;140
29;"Cu KA1-HS-Tr";"Ca_Nd_karb";8,048;50;;"Rekal-MSAN-1";"Cu KA1-HS-Tr/Ca_Nd_karb";"D-";0,46;"LiF200";"Sci.";"45,041*";45,733;60;140,8
29;"Cu KA1-Maj";;8,048;50;;"QuantExpress-SQ1";"Zn KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";44,999;;35;300
29;"Cu KA1";"GEO-QUANT";8,048;60;"Al 500um";"DC_AusMon, DC_Herasil";"Cu KA1/GEO-QUANT";"D-";0,23;"LiF220";"Sci.";"65,551*";"64,088; 66,302";30;160
29;"Cu KB1-ALT-Min";;8,904;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";58,535;;50;150
29;"Cu KB1-ALT-Tr";;8,904;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";58,535;;60;140
29;"Cu KB1-ALT";"Cu-Al-Check";8,904;40;;"DC_Cu-Al-Check-Cu";"Cu KB1-ALT/Cu-Al-Check";;0,23;"LiF200";"Sci.";40,472;;30;300
29;"Cu KB1-HR-Min";;8,904;60;;"QuantExpress-SQ1";"Zn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";40,472;;50;150
29;"Cu KB1-HR-Tr";;8,904;60;;"QuantExpress-SQ1";"Zn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";40,472;;60;140
29;"Cu KB1-HS-Tr";;8,904;60;;"QuantExpress-SQ1";"Zn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";40,472;;60;140
29;"Cu KB1-Maj";;8,904;50;;"QuantExpress-SQ1";"Zn KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";40,472;;35;300
29;"Cu KB1";"Cu-Al-Check";8,904;40;;"DC_Cu-Al-Check-Cu";"Cu KB1/Cu-Al-Check";;0,23;"LiF200";"Gas";40,472;;30;300
29;"Cu LA1-HR";;0,9302;30;;"QuantExpress-SQ2";"Na KA1-HR-Tr";"C,D,*";0,23;"XS-55";"Gas";27,696;;50;150
29;"Cu LA1-HS";;0,9302;30;;"QuantExpress-SQ2";"Na KA1-HS-Tr";"C,D,*";0,46;"XS-55";"Gas";27,696;;50;150
66;"Dy LA1-ALT-Min";;6,491;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";84,229;;50;150
66;"Dy LA1-ALT-Tr";;6,491;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";84,229;;60;140
66;"Dy LA1-HR-Min";;6,491;60;;"QuantExpress-SQ1";"Mn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";56,646;;50;150
66;"Dy LA1-HR-Tr";;6,491;60;;"QuantExpress-SQ1";"Mn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";56,646;;60;140
66;"Dy LA1-HS-Min";;6,491;60;;"QuantExpress-SQ1";"Mn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";56,646;;50;150
66;"Dy LA1-HS-Tr";;6,491;60;;"QuantExpress-SQ1";"Mn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";56,646;;60;140
66;"Dy LB1-ALT-Min";;7,246;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";73,844;;50;150
66;"Dy LB1-ALT-Tr";;7,246;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";73,844;;60;140
66;"Dy LB1-HR-Min";;7,246;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";50,302;;50;150
66;"Dy LB1-HR-Tr";;7,246;60;;"QuantExpress-SQ2";"Co KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";50,302;;60;140
66;"Dy LB1-HS-Min";;7,246;60;;"QuantExpress-SQ2";"Co KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";50,302;;50;150
66;"Dy LB1-HS-Tr";;7,246;60;;"QuantExpress-SQ2";"Co KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";50,302;;60;140
68;"Er LA1-ALT-Min";;6,948;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";77,594;;50;150
68;"Er LA1-ALT-Tr";;6,948;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";77,594;;60;140
68;"Er LA1-HR-Min";;6,948;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";52,627;;50;150
68;"Er LA1-HR-Tr";;6,948;60;;"QuantExpress-SQ2";"Co KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";52,627;;60;140
68;"Er LA1-HS-Min";;6,948;60;;"QuantExpress-SQ2";"Co KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";52,627;;50;150
68;"Er LA1-HS-Tr";;6,948;60;;"QuantExpress-SQ2";"Co KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";52,627;;60;140
68;"Er LB1-ALT-Min";;7,81;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";67,754;;50;150
68;"Er LB1-ALT-Tr";;7,81;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";67,754;;60;140
68;"Er LB1-HR-Min";;7,81;60;;"QuantExpress-SQ1";"Zn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";46,452;;50;150
68;"Er LB1-HR-Tr";;7,81;60;;"QuantExpress-SQ1";"Zn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";46,452;;60;140
68;"Er LB1-HS-Min";;7,81;60;;"QuantExpress-SQ1";"Zn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";46,452;;50;150
63;"Eu LA1-ALT-Min";;5,845;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";96,26;;50;150
63;"Eu LA1-ALT-Tr";;5,845;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";96,26;;60;140
63;"Eu LA1-HR-Min";;5,845;60;;"QuantExpress-SQ1";"Mn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";63,584;;50;150
63;"Eu LA1-HR-Tr";;5,845;60;;"QuantExpress-SQ1";"Mn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";63,584;;60;140
63;"Eu LA1-HS-Min";;5,845;60;;"QuantExpress-SQ1";"Mn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";63,584;;50;150
63;"Eu LA1-HS-Tr";;5,845;60;;"QuantExpress-SQ1";"Mn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";63,584;;60;140
63;"Eu LB1-ALT-Min";;6,453;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";84,843;;50;150
63;"Eu LB1-ALT-Tr";;6,453;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";84,843;;60;140
63;"Eu LB1-HR-Min";;6,453;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";57,012;;50;150
63;"Eu LB1-HR-Tr";;6,453;60;;"QuantExpress-SQ2";"Co KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";57,012;;60;140
63;"Eu LB1-HS-Min";;6,453;60;;"QuantExpress-SQ2";"Co KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";57,012;;50;150
63;"Eu LB1-HS-Tr";;6,453;60;;"QuantExpress-SQ2";"Co KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";57,012;;60;140
9;"F  KA1-HR";;0,677;30;;"QuantExpress-SQ3";"F  KA1-HR";"C,D,*";0,23;"XS-55";"Gas";"38,280*";;50;150
9;"F  KA1-HR";"al";0,677;30;;"QuantExpress-SQ3";"F  KA1-HR";"C,D,*";0,23;"XS-55";"Gas";"38,279*";39,558;50;150
9;"F  KA1-HS";;0,677;30;;"QuantExpress-SQ3";"F  KA1-HS";"C,D,*";0,46;"XS-55";"Gas";"38,268*";;50;150
9;"F  KA1-HS";"L";0,677;30;;"QuantExpress-SQ3";"F  KA1-HS/L";"*";0,46;"XS-C";"Gas";"17,515*";19,699;55,83;149,2
26;"Fe KA1-ALT-Min";;6,404;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";85,643;;50;150
26;"Fe KA1-ALT-Min";"Ca_Nd_karb";6,404;60;;"Rekal-MSAN-1";"Fe KA1-ALT-Min/Ca_Nd_karb";"C,D";0,23;"LiF220";"Sci.";"85,722*";;50;150
26;"Fe KA1-ALT-Min";"granit";6,404;50;;;;;0,23;"LiF220";"Sci.";"85,740*";86,642;44,17;160
26;"Fe KA1-ALT-Min";"granit new";6,404;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D";0,23;"LiF220";"Sci.";85,643;;50;150
26;"Fe KA1-ALT-Tr";;6,404;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";85,643;;60;140
26;"Fe KA1-ALT-Tr";"Ca_Nd_karb";6,404;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D";0,23;"LiF220";"Sci.";85,643;;60;140
26;"Fe KA1-ALT-Tr";"Sn_IZK";6,404;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D";0,23;"LiF220";"Sci.";85,643;;60;140
26;"Fe KA1-HR-Min";;6,404;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";57,486;;50;150
26;"Fe KA1-HR-Min";"Ga IZK";6,404;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D";0,23;"LiF200";"Sci.";57,486;;50;150
26;"Fe KA1-HR-Min";"L";6,404;40;;;;"*";0,23;"LiF200";"Sci.";"57,542*";;50;150
26;"Fe KA1-HR-Min";"veg";6,404;50;;;;"*";0,23;"LiF200";"Sci.";"57,536*";58,346;50;150
26;"Fe KA1-HR-Tr";;6,404;60;;"QuantExpress-SQ2";"Co KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";57,486;;60;140
26;"Fe KA1-HR-Tr";"L";6,404;40;;"QuantExpress-SQ2";"Fe KA1-HR-Tr/L";"*";0,23;"LiF200";"Sci.";"57,533*";58,275;52,08;144,2
26;"Fe KA1-HS-Min";;6,404;60;;"QuantExpress-SQ2";"Co KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";57,486;;50;150
26;"Fe KA1-HS-Tr";;6,404;60;;"QuantExpress-SQ2";"Co KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";57,486;;60;140
26;"Fe KA1-Maj";;6,404;50;;"QuantExpress-SQ2";"Co KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";57,486;;35;300
26;"Fe KA1-Maj";"Oxid_IZK";6,404;40;;;;;0,23;"LiF200";"Sci.";"57,502*";58,114;37,92;169,2
26;"Fe KA1";"S8-Check";6,404;50;"Al 100um";"DC_S8-Check-STG";"Fe KA1/S8-Check";"D-";0,46;"LiF200";"Sci.";"57,545*";;40;160,4
26;"Fe KB1-ALT-Min";;7,057;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";76,177;;50;150
26;"Fe KB1-ALT-Tr";;7,057;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";76,177;;60;140
26;"Fe KB1-HR-Min";;7,057;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";51,752;;50;150
26;"Fe KB1-HR-Tr";;7,057;60;;"QuantExpress-SQ2";"Co KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";51,752;;60;140
26;"Fe KB1-HS-Min";;7,057;60;;"QuantExpress-SQ2";"Co KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";51,752;;50;150
26;"Fe KB1-HS-Tr";;7,057;60;;"QuantExpress-SQ2";"Co KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";51,752;;60;140
26;"Fe KB1-Maj";;7,057;50;;"QuantExpress-SQ2";"Co KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";51,752;;35;300
26;"Fe KB1";"GEO-QUANT";7,059;60;;"DC_AusMon, DC_Herasil";"Fe KB1/GEO-QUANT";"D-";0,23;"LiF220";"Sci.";"76,199*";74,12;30;165
26;"Fe LA1-HR";;0,705;30;;"QuantExpress-SQ3";"F  KA1-HR";"C,D,*";0,23;"XS-55";"Gas";36,723;;50;150
26;"Fe LA1-HR";"cvm";0,705;30;;;;"*";0,23;"XS-55";"Gas";"36,717*";;50;150
26;"Fe LA1-HS";;0,705;30;;"QuantExpress-SQ3";"F  KA1-HS";"C,D,*";0,46;"XS-55";"Gas";36,723;;50;150
31;"Ga KA1-ALT-Min";;9,252;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";56,137;;50;150
31;"Ga KA1-ALT-Tr";;9,252;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";56,137;;60;140
31;"Ga KA1-ALT-Tr";"Ca_Nd_karb";9,252;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D";0,23;"LiF220";"Sci.";56,137;;60;140
31;"Ga KA1-HR-Min";;9,252;60;;"QuantExpress-SQ1";"Zn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";38,889;;50;150
31;"Ga KA1-HR-Min";"FON";9,252;50;"Al 200um";"Rekal-MSAN-1";"Ga KA1-HR-Min/FON";"D-,*";0,23;"LiF200";"Sci.";"39,824*";;50;150
31;"Ga KA1-HR-Min";"T";9,252;50;"Al 500um";"Rekal-MSAN-1";"Ga KA1-HR-Min/T";"D-,*";0,17;"LiF200";"Sci.";"38,903*";39,4;50;150
31;"Ga KA1-HR-Tr";;9,252;60;;"QuantExpress-SQ1";"Zn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";38,889;;60;140
31;"Ga KA1-HS-Min";;9,252;60;;"QuantExpress-SQ1";"Zn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";38,889;;50;150
31;"Ga KA1-HS-Tr";;9,252;60;;"QuantExpress-SQ1";"Zn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";38,889;;60;140
31;"Ga KA1";"GEO-QUANT";9,252;60;;"DC_AusMon";"Ga KA1/GEO-QUANT";"D-";0,23;"LiF220";"Sci.";"56,183*";"51,263; 57,164; 61,771";30;160
31;"Ga KB1-ALT-Min";;10,26;60;;"QuantExpress-SQ1";"Zn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";34,923;;50;150
31;"Ga KB1-ALT-Tr";;10,26;60;;"QuantExpress-SQ1";"Zn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";34,923;;60;140
31;"Ga KB1-HR-Min";;10,26;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";50,19;;50;150
31;"Ga KB1-HR-Tr";;10,26;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";50,19;;60;140
31;"Ga LA1-HR";;1,098;30;;"QuantExpress-SQ2";"Na KA1-HR-Tr";"C,D,*";0,23;"XS-55";"Gas";23,434;;50;150
31;"Ga LA1-HS";;1,098;30;;"QuantExpress-SQ2";"Na KA1-HS-Tr";"C,D,*";0,46;"XS-55";"Gas";23,434;;50;150
64;"Gd LA1-ALT-Min";;6,056;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";91,899;;50;150
64;"Gd LA1-ALT-Tr";;6,056;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";91,899;;60;140
64;"Gd LA1-HR-Min";;6,056;60;;"QuantExpress-SQ1";"Mn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";61,126;;50;150
64;"Gd LA1-HR-Tr";;6,056;60;;"QuantExpress-SQ1";"Mn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";61,126;;60;140
64;"Gd LA1-HS-Min";;6,056;60;;"QuantExpress-SQ1";"Mn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";61,126;;50;150
64;"Gd LA1-HS-Tr";;6,056;60;;"QuantExpress-SQ1";"Mn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";61,126;;60;140
64;"Gd LB1-ALT-Min";;6,709;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";80,905;;50;150
64;"Gd LB1-ALT-Tr";;6,709;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";80,905;;60;140
64;"Gd LB1-HR-Min";;6,709;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";54,648;;50;150
64;"Gd LB1-HR-Tr";;6,709;60;;"QuantExpress-SQ2";"Co KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";54,648;;60;140
64;"Gd LB1-HS-Min";;6,709;60;;"QuantExpress-SQ2";"Co KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";54,648;;50;150
64;"Gd LB1-HS-Tr";;6,709;60;;"QuantExpress-SQ2";"Co KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";54,648;;60;140
64;"Gd MA1-HR";;1,19;30;;"QuantExpress-SQ3";"Mg KA1-HR-Tr";"C,D,*";0,23;"XS-55";"Gas";21,614;;50;150
64;"Gd MA1-HS";;1,19;30;;"QuantExpress-SQ3";"Mg KA1-HS-Tr";"C,D,*";0,46;"XS-55";"Gas";21,614;;50;150
32;"Ge KA1-ALT-Min";;9,887;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";52,249;;50;150
32;"Ge KA1-ALT-Tr";;9,887;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";52,249;;60;140
32;"Ge KA1-HR-Min";;9,887;60;;"QuantExpress-SQ2";"Pb LA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";36,303;;50;150
32;"Ge KA1-HR-Tr";;9,887;60;;"QuantExpress-SQ2";"Pb LA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";36,303;;60;140
32;"Ge KA1-HS-Min";;9,887;60;;"QuantExpress-SQ2";"Pb LA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";36,303;;50;150
32;"Ge KA1-HS-Tr";;9,887;60;;"QuantExpress-SQ2";"Pb LA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";36,303;;60;140
32;"Ge KB1-ALT-Min";;10,98;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";46,707;;50;150
32;"Ge KB1-HR-Min";;10,98;60;;"QuantExpress-SQ2";"Pb LA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";32,575;;50;150
32;"Ge KB1-HR-Tr";;10,98;60;;"QuantExpress-SQ2";"Pb LA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";32,575;;60;140
32;"Ge KB1-Tr";;10,98;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";46,707;;60;140
32;"Ge LA1-HR";;1,188;30;;"QuantExpress-SQ3";"Mg KA1-HR-Tr";"C,D,*";0,23;"XS-55";"Gas";21,653;;50;150
32;"Ge LA1-HS";;1,188;30;;"QuantExpress-SQ3";"Mg KA1-HS-Tr";"C,D,*";0,46;"XS-55";"Gas";21,653;;50;150
72;"Hf LA1-ALT-Min";;7,899;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";66,889;;50;150
72;"Hf LA1-ALT-Tr";;7,899;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";66,889;;60;140
72;"Hf LA1-HR-Min";;7,899;60;;"QuantExpress-SQ1";"Zn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";45,898;;50;150
72;"Hf LA1-HR-Tr";;7,899;60;;"QuantExpress-SQ1";"Zn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";45,898;;60;140
72;"Hf LA1-HS-Min";;7,899;60;;"QuantExpress-SQ1";"Zn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";45,898;;50;150
72;"Hf LA1-HS-Tr";;7,899;60;;"QuantExpress-SQ1";"Zn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";45,898;;60;140
72;"Hf LB1-ALT-Min";;9,021;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";57,707;;50;150
72;"Hf LB1-ALT-Tr";;9,021;60;;"QuantExpress-SQ1";"Zn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";57,707;;60;140
72;"Hf LB1-HR-Min";;9,021;60;;"QuantExpress-SQ1";"Zn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";39,926;;50;150
72;"Hf LB1-HR-Tr";;9,021;60;;"QuantExpress-SQ1";"Zn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";39,926;;60;140
72;"Hf LB1-HS-Min";;9,021;60;;"QuantExpress-SQ1";"Zn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";39,926;;50;150
72;"Hf LB1-HS-Tr";;9,021;60;;"QuantExpress-SQ1";"Zn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";39,926;;60;140
72;"Hf MA1-HR-Min";;1,644;30;;"QuantExpress-SQ1";"Al KA1-HR-Min";"C,D,*";0,23;"PET";"Gas";119,031;;50;150
72;"Hf MA1-HR-Tr";;1,644;30;;"QuantExpress-SQ1";"Al KA1-HR-Tr";"C,D,*";0,23;"PET";"Gas";119,031;;60;140
72;"Hf MA1-HS-Min";;1,644;30;;"QuantExpress-SQ1";"Al KA1-HS-Min";"C,D,*";0,46;"PET";"Gas";119,031;;50;150
72;"Hf MA1-HS-Tr";;1,644;30;;"QuantExpress-SQ1";"Al KA1-HS-Tr";"C,D,*";0,46;"PET";"Gas";119,031;;60;140
